doy (d),tmin (°C),tmax (°C),rad (MJ/m^2/d),rain (mm),vp (kPa),wind (m/s)
100,5.2,15.1,12.5,0.0,1.0,2.0
101,6.0,16.5,14.2,0.0,1.0,2.0
102,5.8,15.8,11.0,2.5,1.0,2.0
103,4.5,14.2,8.5,12.0,1.0,2.0
104,5.0,16.0,15.0,0.0,1.0,2.0
105,6.2,17.5,16.2,0.0,1.0,2.0
106,7.0,18.2,17.5,0.0,1.0,2.0
107,6.8,17.0,12.0,1.0,1.0,2.0
108,5.5,16.5,14.0,0.0,1.0,2.0
109,6.0,17.8,15.5,0.0,1.0,2.0
110,7.2,18.5,18.0,0.0,1.0,2.0
111,8.0,19.2,19.5,0.0,1.0,2.0
112,8.5,20.0,20.2,0.0,1.0,2.0
113,9.0,19.5,15.0,4.2,1.0,2.0
114,7.8,17.2,10.5,8.0,1.0,2.0
115,8.2,18.5,16.0,0.0,1.0,2.0
116,9.0,20.2,18.5,0.0,1.0,2.0
117,9.5,21.0,21.0,0.0,1.0,2.0
118,10.0,22.5,22.0,0.0,1.0,2.0
119,10.5,23.0,22.5,0.0,1.0,2.0
120,11.0,24.0,23.0,0.0,1.0,2.0
121,10.8,22.0,14.5,0.5,1.0,2.0
122,9.5,19.8,12.0,3.0,1.0,2.0
123,9.0,20.5,17.0,0.0,1.0,2.0
124,10.2,21.8,19.0,0.0,1.0,2.0
125,11.0,23.0,20.5,0.0,1.0,2.0
126,11.5,23.5,21.0,0.0,1.0,2.0
127,12.0,24.2,22.0,0.0,1.0,2.0
128,12.5,25.0,23.5,0.0,1.0,2.0
129,13.0,25.5,24.0,0.0,1.0,2.0
130,12.8,24.0,16.0,1.5,1.0,2.0
131,11.5,21.2,13.5,5.0,1.0,2.0
132,10.8,22.0,18.0,0.0,1.0,2.0
133,11.2,23.5,20.0,0.0,1.0,2.0
134,12.0,24.8,21.5,0.0,1.0,2.0
135,12.5,25.2,22.0,0.0,1.0,2.0
136,13.0,26.0,23.0,0.0,1.0,2.0
137,13.5,26.5,24.0,0.0,1.0,2.0
138,14.0,27.0,24.5,0.0,1.0,2.0
139,13.8,25.0,15.5,2.0,1.0,2.0
140,12.5,22.5,14.0,6.5,1.0,2.0
141,11.8,23.0,19.0,0.0,1.0,2.0
142,12.2,24.5,21.0,0.0,1.0,2.0
143,13.0,25.8,22.5,0.0,1.0,2.0
144,13.5,26.2,23.0,0.0,1.0,2.0
145,14.0,27.0,24.0,0.0,1.0,2.0
146,14.5,27.5,24.8,0.0,1.0,2.0
